Input File,Zero Data,Row Random Rate,Col Random Rate,Rand Seed,Accuracy,Precision,Recall,F-Measure
data/iris.data,True,0.7,2,0,True,0.966666666667,0.967750568714,0.966666666667,0.967208314022
data/iris.data,True,0.7,2,0,True,0.966666666667,0.967750568714,0.966666666667,0.967208314022
data/iris.data,True,0.7,2,0,True,0.966666666667,0.967750568714,0.966666666667,0.967208314022
data/iris.data,True,0.7,2,0,True,0.966666666667,0.967750568714,0.966666666667,0.967208314022
data/iris.data,True,0.7,2,0,True,0.966666666667,0.967750568714,0.966666666667,0.967208314022
data/echocardiogram.data,False,0.0,0,0,True,0.916030534351,0.944444444444,0.872093023256,0.906827880512
data/echocardiogram.data,False,0.0,0,0,True,0.916030534351,0.944444444444,0.872093023256,0.906827880512
data/echocardiogram.data,False,0.0,0,0,True,0.916030534351,0.944444444444,0.872093023256,0.906827880512
data/echocardiogram.data,False,0.0,0,0,True,0.916030534351,0.944444444444,0.872093023256,0.906827880512
data/iris.data,True,0.7,2,0,True,0.966666666667,0.967750568714,0.966666666667,0.967208314022
